source,target
An issue was discovered in Moxa MiiNePort E1 versions prior to 1.8 E2 versions prior to 1.4 and E3 versions prior to 1.1. An attacker may be able to brute force an active session cookie to be able to downloadConfiguration files. ,Exposure of Sensitive Information to an Unauthorized Actor
DLink WiFi Router Telecomm DIR610 DIR610 Linux,Exposure of Sensitive Information to an Unauthorized Actor
The NETGEAR WNR2000v5 router contains a buffer overflow in the hidden_lang_avi parameter when invoking the URLapply.cgi? lang_check.html. This buffer overflow can be exploited by an unauthenticated attacker to achieve remote code execution. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
On DLink DIR550A and DIR604M devices through v2.10KR a malicious user can use a default TELNET account to get unauthorized access to vulnerable devices aka a backdoor access vulnerability. ,Improper Initialization
Elemental Path's CogniToys Dino smart toys through firmware version 0.0.794 share a fixed small pool of hardcoded keys allowing a remote attacker to use a different Dino device to decrypt VoIP traffic between a child's Dino and remote server. ,Use of a Broken or Risky Cryptographic Algorithm
APIFTP Server in Optimalog Optima PLC 1.5.2 and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via a crafted packet. ,Resource Management Errors
NETWAVE MNG6200 C4835805jrc12FU121413.cpr devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
Certain NETGEAR devices are affected by anonymous root access. This affects ReadyNAS Surveillance 1.1.13armel and earlier and ReadyNAS Surveillance 1.4.13amd64 and earlier. ,Improper Authentication
An issue was discovered on Samsung 840 EVO devices. Vendorspecific commands may allow access to the diskencryption key. ,Insufficiently Protected Credentials
Delta Electronics Delta Industrial Automation DOPSoft version 4.00.04 and prior utilizes a fixedlength heap buffer where a value larger than the buffer can be read from a .dpa file into the buffer causing the buffer to be overwritten. This may allow remote code execution or cause the application to crash. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Stackbased buffer overflow in Hospira Communication Engine (CE) before 1.2 in LifeCare PCA Infusion System 5.07 Plum A+ Infusion System 13.40 and Plum A+3 Infusion System 13.40 allows remote attackers to cause a denial of service or possibly have unspecified other impact via traffic on TCP port 5000. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
On ASUS RTAC58U 3.0.0.4.380_6516 devices remote attackers can discover hostnames and IP addresses by reading dhcpLeaseInfo data in the HTML source code of the Main_Login.asp page. ,Exposure of Sensitive Information to an Unauthorized Actor
Certain NETGEAR devices are affected by authentication bypass. This affects CBR40 before 2.5.0.10 RBK752 before 3.2.15.25 RBR750 before 3.2.15.25 RBS750 before 3.2.15.25 RBK852 before 3.2.10.11 RBR850 before 3.2.10.11 and RBS850 before 3.2.10.11. ,Improper Authentication
Crestron Electronics DMTXRX100STR devices with firmware before 1.3039.00040 have a hardcoded password of admin for the admin account which makes it easier for remote attackers to obtain access via the web management interface. ,Credentials Management Errors
Directory traversal vulnerability in IniNet embeddedWebServer (aka eWebServer) before 2.02 allows remote attackers to read arbitrary files via a crafted pathname. ,Exposure of Resource to Wrong Sphere
Resource Data Management (RDM) Intuitive 650 TDB Controller devices before 2.1.24 allow remote authenticated users to modify arbitrary passwords via unspecified vectors. ,Permissions; Privileges; and Access Controls
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Medtronic 2090 CareLink Programmer all versions The affected product uses a virtual private network connection to securely download updates. The product does not verify it is still connected to this virtual private network before downloading updates. An attacker with local network access to the programmer could influence these communications. ,Exposure of Sensitive Information to an Unauthorized Actor
This vulnerability allows networkadjacent attackers to execute arbitrary code on affected installations of DLink DAP1860 1.04B03_HOTFIX WiFi extenders. Although authentication is required to exploit this vulnerability the existing authentication mechanism can be bypassed. The specific flaw exists within the HNAP service which listens on TCP port 80 by default. When parsing the SOAPAction header the process does not properly validate a usersupplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of the device. Was ZDICAN10084. ,Improper Neutralization of Special Elements
Gogogate Smart Gate Smart Home GoGogate iSmartgate PRO 1 5 9 Linux debian4+deb7u6 debian 4+deb7u6 ,Insufficient Verification of Data Authenticity
An Improper Input Validation issue was discovered in ABB FOX515T release 1.0. An improper input validation vulnerability has been identified allowing a local attacker to provide a malicious parameter to the script that is not validated by the application This could enable the attacker to retrieve any file on the server. ,Improper Input Validation
On Netis DL4323 devices XSS exists via the form2userconfig.cgi username parameter (User AccountConfiguration). ,Improper Neutralization of Special Elements
A vulnerability has been identified in SINUMERIK 808D V4.7 (All versions) SINUMERIK 808D V4.8 (All versions) SINUMERIK 828D V4.7 (All versions < V4.7 SP6 HF1) SINUMERIK 840D sl V4.7 (All versions < V4.7 SP6 HF5) SINUMERIK 840D sl V4.8 (All versions < V4.8 SP3). A local attacker could use ioctl calls to do out of bounds reads arbitrary writes or execute code in kernel mode. The security vulnerability could be exploited by an attacker with local access to the affected systems. Successful exploitation requires user privileges but no user interaction. The vulnerability could allow an attacker to compromise confidentiality integrity and availability of the system. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Ecava IntegraXor SCADA Server Stable 4.1.4360 and earlier and Beta 4.1.4392 and earlier allows remote attackers to read or write to arbitrary files and obtain sensitive information or cause a denial of service (disk consumption) via the CSV export feature. ,Permissions; Privileges; and Access Controls
Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to gain privileges via manual entry of a Settings URL. ,Permissions; Privileges; and Access Controls
NEC WiFi Router Telecomm Aterm WG1200HP WG1200HP Linux Linux Ubuntu 2ubuntu2 Ubuntu 2 ubuntu2 ,Improper Neutralization of Special Elements
NETGEAR R7800 devices before 1.0.2.60 are affected by command injection by an authenticated user. ,Improper Neutralization of Special Elements
An exploitable buffer overflow vulnerability exists in thecameras XXXX clips handler of videocore's HTTP server of Samsung SmartThings Hub STHETH250Firmware version 0.20.17. The videocore process incorrectly extracts fields from a usercontrolled JSON payload leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on TPLink TLWR886N 6.0 2.3.4 and TLWR886N 7.0 1.1.0 devices. Authenticated attackers can crash router services (e.g. inetd HTTP DNS and UPnP) via long JSON data for firewall lan_manage mac2. ,Improper Authorization
Ecava IntegraXor before 5.0 build 4522 does not include the HTTPOnly flag in a SetCookie header for the session cookie which makes it easier for remote attackers to obtain potentially sensitive information via script access to this cookie. ,Exposure of Sensitive Information to an Unauthorized Actor
Moxa IKS and EDS allow remote authenticated users to cause a denial of service via a specially crafted packet which may cause the switch to crash. ,Uncontrolled Resource Consumption
Amtelco miSecureMessages (aka MSM) 6.2 does not properly manage sessions which allows remote authenticated users to obtain sensitive information via a modified message request. ,Permissions; Privileges; and Access Controls
A vulnerability in the Secure Sockets Layer (SSL) Virtual Private Network (VPN) Client Certificate Authentication feature for Cisco Adaptive Security Appliance (ASA) could allow an unauthenticated remote attacker to establish an SSL VPN connection and bypass certain SSL certificate verification steps. The vulnerability is due to incorrect verification of the SSL Client Certificate. An attacker could exploit this vulnerability by connecting to the ASA VPN without a proper private key and certificate pair. A successful exploit could allow the attacker to establish an SSL VPN connection to the ASA when the connection should have been rejected. This vulnerability affects Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) Software that is running on the following Cisco products: 3000 Series Industrial Security Appliances (ISA) ASA 5500 Series Adaptive Security Appliances ASA 5500X Series NextGeneration Firewalls ASA Services Module for Cisco Catalyst 6500 Series Switches and Cisco 7600 Series Routers Adaptive Security Virtual Appliances (ASAv) Firepower 4110 Security Appliances Firepower 9300 ASA Security Modules. Cisco Bug IDs: CSCvg40155. ,Improper Authentication
The Belkin WeMo Home Automation firmware before 3949 does not use SSL for the distribution feed which allows maninthemiddle attackers to install arbitrary firmware by spoofing a distribution server. ,Cryptographic Issues
AnImproper Authentication issue was discovered in OSIsoft PI Server 2017 PI Data Archive versions prior to 2017. PI Data Archive has protocol flaws with the potential to expose change records in the clear and allow a malicious party to spoof a server within a collective. ,Improper Authentication
A ZTE Smart STB is impacted by an information leak vulnerability. The device did not fully verify the log so attackers could use this vulnerability to obtain sensitive user information for further information detection and attacks. This affects: ZXV10 B860A V2.1T_V0032.1.1.04_jiangsuTelecom. ,Exposure of Sensitive Information to an Unauthorized Actor
Infinite Automation Mango Automation 2.5.x and 2.6.x before 2.6.0 build 430 provides different error messages for failed login attempts in unspecified circumstances which allows remote attackers to obtain sensitive information via a series of requests. ,Exposure of Sensitive Information to an Unauthorized Actor
An issue was discovered in several Bosch Smart Home cameras (360 degree indoor camera and Eyes outdoor camera) with firmware before 6.52.4. A malicious client could potentially succeed in the unauthorized execution of code on the device via the network interface because there is a buffer overflow in the RCP+ parser of the web server. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by authentication bypass. This affects CBR40 before 2.5.0.10 RBK752 before 3.2.15.25 RBR750 before 3.2.15.25 RBS750 before 3.2.15.25 RBK852 before 3.2.10.11 RBR850 before 3.2.10.11 and RBS850 before 3.2.10.11. ,Improper Authentication
NETGEAR WiFi Router Telecomm NETGEAR D6200 D6200 Linux,Improper Access Control
SV3C LSERIES HD CAMERA V2.3.4.2103S50NTDB20170508B and V2.3.4.2103S50NTDB20170823B devices allow remote authenticated users to reset arbitrary accounts via a request to web cgibin hi3510 param.cgi. ,Improper Authentication
SQL injection vulnerability in WebNavigator in Siemens WinCC 7.0 SP3 and earlier as used in SIMATIC PCS7 and other products allows remote attackers to execute arbitrary SQL commands via a crafted SOAP message. ,Improper Neutralization of Special Elements
The backend database of the Philips DoseWise Portal application versions 1.1.7.333 and 2.1.1.3069 uses hardcoded credentials for a database account with privileges that can affect confidentiality integrity and availability of the database. For an attacker to exploit this vulnerability elevated privileges are first required for an attacker to access the web application backend system files that contain the hardcoded credentials. Successful exploitation may allow a remote attacker to gain access to the database of the DWP application which contains PHI. CVSS v3 base score: 9.1 CVSS vector string: AV:N AC:L PR:H UI:N S:C C:H I:H A:H. ,Improper Authentication
In WebAccess SCADA Versions 8.3.5 and prior an outofbounds read vulnerability is caused by a lack of proper validation of usersupplied data. Exploitation of this vulnerability may allow disclosure of information. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Crosssite scripting (XSS) vulnerability in the webbased management interface on Cisco RV110W devices with firmware before 1.2.1.7 RV130W devices with firmware before 1.0.3.16 and RV215W devices with firmware before 1.3.0.8 allows remote attackers to inject arbitrary web script or HTML via a crafted parameter aka Bug ID CSCux82583. ,Improper Neutralization of Special Elements
An issue was discovered on Tenda AC6 V1.0 V15.03.05.19_multi_TD01 AC9 V1.0 V15.03.05.19(6318)_CN AC9 V3.0 V15.03.06.42_multi AC15 V1.0 V15.03.05.19_multi_TD01 and AC18 V15.03.05.19(6318_)_CN devices. There is a buffer overflow vulnerability in the router's web serverhttpd. While processing thegoform setcfm funcpara1 parameter for a POST request a value is directly used in a sprintf to a local variable placed on the stack which overwrites the return address of a function. An attacker can construct a payload to carry out arbitrary code execution attacks. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
SQL injection vulnerability in Schneider Electric Wonderware Information Server (WIS) Portal 4.0 SP1 through 5.5 allows remote attackers to execute arbitrary SQL commands via unspecified vectors. ,Improper Neutralization of Special Elements
Echelon i LON 100 ,Exposure of Sensitive Information to an Unauthorized Actor
All versions up to V1.1.10P3T18 of ZTE ZXHN F670 product are impacted by heapbased buffer overflow vulnerability which may allow an attacker to execute arbitrary code. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A DLL hijacking vulnerability exists in Schneider Electric's SoMove Software and associated DTM software components in all versions prior to 2.6.2 which could allow an attacker to execute arbitrary code. ,External Control of Critical State Data
A vulnerability has been identified in Firmware variant IEC 61850 for EN100 Ethernet module (All versions < V4.33) Firmware variant PROFINET IO for EN100 Ethernet module (All versions) Firmware variant Modbus TCP for EN100 Ethernet module (All versions) Firmware variant DNP3 TCP for EN100 Ethernet module (All versions) Firmware variant IEC104 for EN100 Ethernet module (All versions < V1.22). Specially crafted packets to port 102 tcp could cause a denialofservice condition in the EN100 communication module if oscillographs are running. A manual restart is required to recover the EN100 module functionality. Successful exploitation requires an attacker with network access to send multiple packets to the EN100 module. As a precondition the IEC 61850MMS communication needs to be activated on the affected EN100 modules. No user interaction or privileges are required to exploit the security vulnerability. The vulnerability could allow causing a DenialofService condition of the network functionality of the device compromising the availability of the system. At the time of advisory publication no public exploitation of this security vulnerability was known. ,Improper Input Validation
Netgear WNAP320 WNDAP350 and WNDAP360 before 3.5.5.0 reveal wireless passwords and administrative usernames and passwords over SNMP. ,Exposure of Sensitive Information to an Unauthorized Actor
An issue was discovered on Tata Sonata Smart SF Rush 1.12 devices. It has been identified that the smart band has no pairing (mode 0 Bluetooth LE security level) The data being transmitted over the air is not encrypted. Adding to this the data being sent to the smart band doesn't have any authentication or signature verification. Thus any attacker can control a parameter of the device. ,Insufficient Verification of Data Authenticity
DLink WiFi Router Telecomm DIR615 DIR615 Linux Mikrotik RouterOS ,Improper Access Control
NEC WiFi Router Telecomm Aterm WG1200HP WG1200HP Linux Linux Ubuntu 2ubuntu2 Ubuntu 2 ubuntu2 ,Improper Neutralization of Special Elements
Three type confusion vulnerabilities exist in CXOne Versions 4.50 and prior and CXProtocol Versions 2.0 and prior when processing project files. An attacker could use a specially crafted project file to exploit and execute code under the privileges of the application. ,Improper Control of a Resource Through its Lifetime
Certain NETGEAR devices are affected by Stored XSS. This affects D7800 before 1.0.1.56 R7500v2 before 1.0.3.46 R7800 before 1.0.2.68 R8900 before 1.0.4.28 R9000 before 1.0.4.28 RAX120 before 1.0.0.78 XR500 before 2.3.2.56 and XR700 before 1.0.1.10. ,Improper Neutralization of Special Elements
An issue was discovered in Moxa NPort 5110 versions prior to 2.6 NPort 5130 5150 Series versions prior to 3.6 NPort 5200 Series versions prior to 2.8 NPort 5400 Series versions prior to 3.11 NPort 5600 Series versions prior to 3.7 NPort 5100A Series & NPort P5150A versions prior to 1.3 NPort 5200A Series versions prior to 1.3 NPort 5150AIM12 Series versions prior to 1.2 NPort 5250AIM12 Series versions prior to 1.2 NPort 5450AIM12 Series versions prior to 1.2 NPort 56008DT Series versions prior to 2.4 NPort 56008DTL Series versions prior to 2.4 NPort 6x50 Series versions prior to 1.13.11 NPort IA5450A versions prior to v1.4.AConfiguration file contains parameters that represent passwords in plaintext. ,Credentials Management Errors
An issue was discovered on PHOENIX CONTACT RAD80211XD and RAD80211XD HPBUS devices. Command injection can occur in the WebHMI component. ,Improper Neutralization of Special Elements
An exploitable buffer overflow vulnerability exists in the camera replace feature of videocore's HTTP server of Samsung SmartThings Hub STHETH250 devices with firmware version 0.20.17. The videocore process incorrectly extracts the URL field from a usercontrolled JSON payload leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
eQ3 Smart Home Smart Home HomeMatic WebUI CCU2 CCU3 Linux,Improper Restriction of Operations within the Bounds of a Memory Buffer
The AAA service in Cisco IOS 12.0 through 12.4 and 15.0 through 15.6 and IOS XE 2.1 through 3.18 and 16.2 allows remote attackers to cause a denial of service (device reload) via a failed SSH connection attempt that is mishandled during generation of an errorlog message aka Bug ID CSCuy87667. ,Resource Management Errors
MOBOTIX Smart Camera Smart Home MOBOTIX S14 S14 Linux,Insufficient Verification of Data Authenticity
Stackbased buffer overflow in BKESimmgr.exe in the Expanded Test Functions package in Yokogawa CENTUM CS 1000 CENTUM CS 3000 Entry Class R3.09.50 and earlier CENTUM VP R5.03.00 and earlier CENTUM VP Entry Class R5.03.00 and earlier Exaopc R3.71.02 and earlier B M9000CS R5.05.01 and earlier and B M9000 VP R7.03.01 and earlier allows remote attackers to execute arbitrary code via a crafted packet. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
ARRIS WiFi Router Telecomm ARRIS TR4400 TR4400Linux,Inadequate Encryption Strength
LG LNB* LND* LNU* and LNV* smart network camera devices have broken access control. Attackers are able to downloadupdownload t.report (aka Log & Report) files and download backup files (via download.php) without authenticating. These backup files contain user credentials andConfiguration information for the camera device. An attacker is able to discover the backup filename via reading the system logs or report data or just by bruteforcing the backup filename pattern. It may be possible to authenticate to the admin account with the admin password. ,Improper Authorization
zenAdminSrv.exe in Ing. Punzenberger COPADATA zenon 6.51 SP0 allows remote attackers to cause a denial of service (daemon crash) or possibly execute arbitrary code via a crafted packet to TCP port 50777 aka Reference Number 25240. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Untrusted search path vulnerability in WellinTech KingView 6.53 allows local users to gain privileges via a Trojan horse DLL in the current working directory. ,External Control of Critical State Data
Untrusted search path vulnerability in ABB Panel Builder 800 5.1 allows local users to gain privileges via a Trojan horse DLL in the current working directory. ,Permissions; Privileges; and Access Controls
EOSDataServer.exe in C3ilex EOScada before 11.0.19.2 allows remote attackers to cause a denial of service by sending a large amount of data to TCP port 24006. ,Resource Management Errors
Crosssite request forgery (CSRF) vulnerability on the Schneider Electric Quantum 140NOE77111 140NOE77101 and 140NWM10000; M340 BMXNOC0401 BMXNOE0100x and BMXNOE011xx; and Premium TSXETY4103 TSXETY5103 and TSXWMY100 PLC modules allows remote attackers to hijack the authentication of arbitrary users for requests that execute commands as demonstrated by modifying HTTP credentials. ,Insufficient Verification of Data Authenticity
A vulnerability was discovered in Siemens SiPass integrated (All versions before V2.70) that could allow an attacker in a ManintheMiddle position between the SiPass integrated server and SiPass integrated clients to read or modify the network communication. ,Use of a Broken or Risky Cryptographic Algorithm
DLink WiFi Extender Telecomm dlinkdap1330 DAP1330 Linux,Improper Access Control
Schneider Electric Vijeo Citect 7.20 and earlier CitectSCADA 7.20 and earlier and PowerLogic SCADA 7.20 and earlier allow remote attackers to read arbitrary files send HTTP requests to intranet servers or cause a denial of service (CPU and memory consumption) via an XML document containing an external entity declaration in conjunction with an entity reference related to an XML External Entity (XXE) issue. ,Permissions; Privileges; and Access Controls
An SQL injection vulnerability has been identified in Geutebruck GCam EFD2250 Version 1.12.0.4 and Topline TopFD2125 Version 3.15.1 IP cameras which may allow an attacker to alter stored data. ,Improper Neutralization of Special Elements
A Cleartext Transmission of Sensitive Information issue was discovered in Belden Hirschmann RS RSR RSB MACH100 MACH1000 MACH4000 MS and OCTOPUS Classic Platform Switches. A cleartext transmission of sensitive information vulnerability in the web interface has been identified which may allow an attacker to obtain sensitive information through a successful maninthemiddle attack. ,Missing Encryption of Sensitive Data
Philips Intellispace Portal all versions 7.0.x and 8.0.x have an insecure windows permissions vulnerability that could allow an attacker to gain unauthorized access and in some cases escalate their level of privilege or execute arbitrary code. ,Exposure of Resource to Wrong Sphere
GE Healthcare Centricity PACS Workstation 4.0 and 4.0.1 has a password of ddpadmin for the ddpadmin user which has unspecified impact and attack vectors.NOTE: it is not clear whether this password is default hardcoded or dependent on another system or product that requires a fixed value. ,Credentials Management Errors
NETGEAR XR500 devices before 2.3.2.32 are affected by remote code execution by unauthenticated attackers via the traceroute handler. ,Improper Input Validation
Invoxia NVX220 devices allow TELNET access as admin with a default password. ,Improper Authentication
Orange Livebox 00.96.320S devices allow cgibin restore.exe cgibin firewall_SPI.exe cgibin setup_remote_mgmt.exe cgibin setup_pass.exe and cgibin upgradep.exe CSRF. This is related to Firmware 01.11.201711:43:44 Boot v0.70.03 Modem 5.4.1.10.1.1A Hardware 02 and Arcadyan ARV7519RW22AL T VR9 1.2. ,Insufficient Verification of Data Authenticity
An issue was discovered on Xiaomi DGNWG03LM ZNCZ03LM MCCGQ01LM WSDCGQ01LM RTCGQ01LM devices. Because of insecure key transport in ZigBee communication causing attackers to gain sensitive information and denial of service attack take over smart home devices and tamper with messages. ,Incorrect Authorization
An issue was discovered on WatchGuard AP100 AP102 and AP200 devices with firmware before 1.2.9.15.Improper Authentication handling by the native Access Point web UI allows authentication using a local system account (instead of the dedicated webonly user). ,Improper Authentication
On Netis DL4323 devices XSS exists via the form2Ddns.cgi username parameter (DynDns settings of the Dynamic DNSConfiguration). ,Improper Neutralization of Special Elements
NETGEAR WiFi Router Telecomm Netgear AC1450 AC1450 Linux,Improper Access Control
Insecure Cryptographic Storage of credentials in com.vestiacom.qbeecamera_preferences.xml in the QBee Cam application through 1.0.5 for Android allows an attacker to retrieve the username and password. ,Insufficiently Protected Credentials
The Remote Desktop Protocol (RDP) implementation in Microsoft Windows XP SP2 and SP3 Windows Server 2003 SP2 Windows Vista SP2 Windows Server 2008 SP2 R2 and R2 SP1 and Windows 7 Gold and SP1 does not properly process packets in memory which allows remote attackers to execute arbitrary code by sending crafted RDP packets triggering access to an object that (1) was not properly initialized or (2) is deleted aka Remote Desktop Protocol Vulnerability. ,Improper Neutralization of Special Elements
Foscam WiFi Camera Smart Home Foscam C2 C2 Linux Linux Debian10+deb10u2 Debian10 deb10u2 ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Buffer overflow in Advantech WebAccess before 8.1_20160519 allows local users to cause a denial of service via a crafted DLL file. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by a stackbased buffer overflow by an authenticated user. This affects D6100 before 1.0.0.57 R7500 before 1.0.0.122 R7800 before 1.0.2.40 R9000 before 1.0.2.52 WNDR3700v4 before 1.0.2.92 WNDR4300 before 1.0.2.94 WNDR4300v2 before 1.0.0.50 WNDR4500v3 before 1.0.0.50 and WNR2000v5 before 1.0.0.62. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on DLink DIR878 1.12B01 devices. At theHNAP1 URI an attacker can log in with a blank password. ,Improper Authentication
Pluto Safety PLC Gateway Ethernet devices in ABB GATEE1 and GATEE2 all versions allows an unauthenticated attacker using the administrative web interface to insert an HTML Javascript payload into any of the device properties which may allow an attacker to display execute the payload in a visitor browser. ,Improper Neutralization of Special Elements
A potentialImproper Authorizationvulnerability exists in the JSONRPC interface of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in reading or modification of the SHC'sConfiguration or triggering and restoring backups. In order to exploit the vulnerability the adversary needs to have successfully paired an app or service which requires user interaction. ,Improper Privilege Management
GE Healthcare CADStream Server has a default password of confirma for the admin user which has unspecified impact and attack vectors. ,Credentials Management Errors
Certain NETGEAR devices are affected by authentication bypass. This affects D6200 before 1.1.00.36 D7000 before 1.0.1.74 PR2000 before 1.0.0.30 R6020 before 1.0.0.42 R6050 before 1.0.1.22 JR6150 before 1.0.1.22 R6080 before 1.0.0.42 R6120 before 1.0.0.66 R6220 before 1.1.0.100 R6230 before 1.1.0.100 R6260 before 1.1.0.64 R6700v2 before 1.2.0.62 R6800 before 1.2.0.62 R69002 before 1.2.0.62 and WNR2020 before 1.1.0.62. ,Improper Neutralization of Special Elements
A SQL Injection issue was discovered in WebAccess versions prior to 8.3. WebAccess does not properly sanitize its inputs for SQL commands. ,Improper Neutralization of Special Elements
A command injection vulnerability is present that permits an unauthenticated user with access to the Aruba Instant web interface to execute arbitrary system commands within the underlying operating system. An attacker could use this ability to copy files readConfiguration write files delete files or reboot the device. Workaround: Block access to the Aruba Instant web interface from all untrusted users. Resolution: Fixed in Aruba Instant 4.2.4.12 6.5.4.11 8.3.0.6 and 8.4.0.1 ,Improper Neutralization of Special Elements
NETGEAR WiFi Router Telecomm NETGEAR D7800 D7800 Linux Linux Raspbian5+deb8u4 Raspbian5 deb8u4 ,Improper Neutralization of Special Elements
DASAN H660GW devices have Stored XSS in the Port Forwarding functionality. ,Improper Neutralization of Special Elements
System command injection in formAliasIp in TOTOLINK A3002RU version 1.0.8 allows attackers to execute system commands via the ipAddr POST parameter. ,Improper Neutralization of Special Elements
Open redirect vulnerability in the integrated web server on Siemens SIMATIC S71500 CPU PLC devices with firmware before 1.5.0 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors. ,Exposure of Sensitive Information to an Unauthorized Actor
The webserver passwordauthentication functionality in Rockwell Automation EtherNet IP products; 1756ENBT 1756EWEB 1768ENBT and 1768EWEB communication modules; CompactLogix L32E and L35E controllers; 1788ENBT FLEXLogix adapter; 1794AENTR FLEX I O EtherNet IP adapter; ControlLogix 18 and earlier; CompactLogix 18 and earlier; GuardLogix 18 and earlier; SoftLogix 18 and earlier; CompactLogix controllers 19 and earlier; SoftLogix controllers 19 and earlier; ControlLogix controllers 20 and earlier; GuardLogix controllers 20 and earlier; and MicroLogix 1100 and 1400 allows maninthemiddle attackers to conduct replay attacks via HTTP traffic. ,Improper Authentication
Cisco IP Phone 8800 devices with software 11.0(1) allow remote attackers to cause a denial of service (memory corruption) via a crafted HTTP request aka Bug ID CSCuz03038. ,Improper Input Validation
Aterm WG1200HP firmware Ver1.0.31 and earlier allows attacker with administrator rights to execute arbitrary OS commands via sysCmd in formWsc parameter. ,Improper Neutralization of Special Elements
Samsung Smart watch Wearable NA Gear s3 Unknown,Improper Privilege Management
Cisco IOS 15.5(3)M and 15.6(1)T0a on Cisco 1000 Connected Grid routers allows remote authenticated users to cause a denial of service (device reload) via an SNMP request for unspecified BRIDGE MIB OIDs aka Bug ID CSCux89878. ,Resource Management Errors
XSS exists on DLink DWR933 1.00(WW)B17 devices via cgibin gui.cgi. ,Improper Neutralization of Special Elements
AnImproper Authentication issue was discovered in WAGO PFC200 Series 3S CoDeSys Runtime versions 2.3.X and 2.4.X. An attacker can execute different unauthenticated remote operations because of the CoDeSys Runtime application which is available via network by default on Port 2455. An attacker could execute some unauthenticated commands such as reading writing or deleting arbitrary files or manipulate the PLC application during runtime by sending speciallycrafted TCP packets to Port 2455. ,Improper Authentication
Untrusted search path vulnerability in Schneider Electric Wonderware System Platform before 2014 R2 Patch 01 allows local users to gain privileges via a Trojan horse DLL in an unspecified directory. ,Exposure of Resource to Wrong Sphere
Buffer overflow in Emerson DeltaV 9.3.1 and 10.3 through 11.3.1 allows remote attackers to cause a denial of service (daemon crash) via a long string to an unspecified port. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Ring (formerly DoorBot) video doorbells allow remote attackers to obtain sensitive information about the wireless networkConfiguration by pressing the set up button and leveraging an API in the GainSpan WiFi module. ,Credentials Management Errors
The driving interface of Tesla Model 3 vehicles in any release before 2020.4.10 allows Denial of Service to occur due to improper process separation which allows attackers to disable the speedometer web browser climate controls turn signal visual and sounds navigation autopilot notifications along with other miscellaneous functions from the main screen. ,Improper Privilege Management
An exploitable double free vulnerability exists in the mdnscap binary of the CUJO Smart Firewall. When parsing mDNS packets a memory space is freed twice if an invalid query name is encountered leading to arbitrary code execution in the context of the mdnscap process. An unauthenticated attacker can send an mDNS message to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Reflected CrossSite Scripting (nonpersistent) allows an attacker to craft a specific URL which contains Java script that will be executed on the Schneider Electric Modicon BMXNOC0401 BMXNOE0100 BMXNOE0110 BMXNOE0110H BMXNOR0200H BMXP342020 BMXP342020H BMXP342030 BMXP3420302 BMXP3420302H or BMXP342030H PLC client browser. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by disclosure of administrative credentials. This affects CBR40 before 2.5.0.10 RBK752 before 3.2.15.25 RBR750 before 3.2.15.25 RBS750 before 3.2.15.25 RBK852 before 3.2.10.11 RBR850 before 3.2.10.11 and RBS850 before 3.2.10.11. ,Insufficiently Protected Credentials
A vulnerability was discovered in Siemens SIMATIC WinCC Sm@rtClient for Android (All versions before V1.0.2.2). The existing TLS protocol implementation could allow an attacker to read and modify data within a TLS session while performing a ManintheMiddle (MitM) attack. ,Missing Encryption of Sensitive Data
A CrossSite Scripting issue was discovered in Trihedral VTScada Versions prior to 11.2.26. A crosssite scripting vulnerability may allow JavaScript code supplied by the attacker to execute within the user's browser. ,Improper Neutralization of Special Elements
